0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67
0.5842740544;0.5320136291;0.4919354839;0.4852131921;0.4813104294;0.4791435735;0.498175652;0.5262367129;0.5244416286;0.5283335276;0.5049185756;0.4916048598;0.4943094491;0.4921998232;0.4921998232;0.5222669309;0.5807011622;0.5895927976;0.5895927976;0.5352433389;0.4747801945;0.400393277;0.4176453992;0.4898820177;0.5491574286;0.5895927976;0.5834386209;0.2903225806;0.1935483871;0.0967741935;0.1190711537;0.0919496311;0.0967741935;0.0984399646;0.1230994961;0.4461069899;0.4225991131;0.3780013434;0.31024813;0.33880567;0.3879359184;0.31024813;0.3847374336;0.4286349118;0.4461069899;0.393512029;0.33880567;0.2965286502;0.2242167544;0.1768686468;0.1870550565;0.1723996639;0.223635881;0.2907702642;0.3112945011;0.3154452777;0.316166061;0.3190329104;0.3031442924;0.274667522;0.2295201528;0.2270988361;0.2280989617;0.2741935484;0.235119028;0.2360851801;0.2397753024;AN
0.5915749979;0.5340268752;0.4919354839;0.4874197818;0.4855481685;0.4969338872;0.5266073457;0.5574441825;0.5647464968;0.5583185139;0.5232621999;0.5050473649;0.4968684452;0.4871528487;0.4841397103;0.5241935484;0.5882676202;0.6048924707;0.6210201067;0.5773314945;0.5153724293;0.4428880715;0.457408094;0.5355470231;0.5915749979;0.6274276473;0.610404499;0.3225806452;0.2096774194;0.1048387097;0.1262296439;0.1032761974;0.0971096337;0.0940476112;0.1230994961;0.4677419355;0.4471263315;0.4052369202;0.3390934845;0.3646909372;0.4107365025;0.3390934845;0.4121591077;0.4534094451;0.4677419355;0.4107365025;0.3646909372;0.3027149093;0.2419354839;0.1948878383;0.1962181461;0.1870550565;0.2276708744;0.304321972;0.3112945011;0.3229836193;0.3322149988;0.3267870902;0.3211662541;0.2871692551;0.2397753024;0.2440765476;0.2431421521;0.2850096298;0.2505197511;0.2520725743;0.2576862147;AN
0.6383715299;0.5750740802;0.5403827603;0.5222669309;0.5123348443;0.5078084352;0.5103634623;0.5283950726;0.5244416286;0.5222669309;0.5123348443;0.5133493698;0.5214568761;0.5229513818;0.5325023877;0.5712160022;0.6348469872;0.6097115539;0.6048924707;0.5480311938;0.4733396965;0.4017715712;0.4112112511;0.4882197054;0.5548129214;0.6162894572;0.6161311434;0.2903225806;0.1935483871;0.0967741935;0.1370967742;0.1032761974;0.0967741935;0.0984399646;0.1410714168;0.4661401941;0.4335380663;0.3871807705;0.3141022918;0.3490175001;0.3998243631;0.3141022918;0.3937598586;0.4449391685;0.471067157;0.405878372;0.3542884296;0.3136879087;0.2344264815;0.1875758605;0.1870550565;0.1803280627;0.2272419807;0.3065577066;0.316268896;0.316166061;0.3154452777;0.3190329104;0.3141022918;0.2853517099;0.2246514238;0.2270988361;0.2214440358;0.2821428336;0.2440765476;0.2431421521;0.2426065961;AN
0.5342635987;0.4850821745;0.4496644295;0.4397381812;0.4339641117;0.437015318;0.4563758389;0.4850821745;0.4832680813;0.4804637941;0.4562277691;0.442596969;0.4393282644;0.4329769427;0.4297398817;0.4639132794;0.5254652116;0.541756673;0.5345585974;0.492820396;0.4375303628;0.3764376822;0.3896087322;0.4564251849;0.5078102668;0.5397992877;0.5273049765;0.2751677852;0.1812080537;0.0939597315;0.1082182248;0.0859479763;0.080816071;0.0875060726;0.1061167;0.404080355;0.3858330833;0.3500242902;0.2851361851;0.3114122888;0.351180549;0.291154523;0.355704698;0.3909936017;0.4085699666;0.3606719152;0.3167898986;0.270545562;0.2096711322;0.165078844;0.1632956384;0.1566794299;0.2011184438;0.2625182177;0.2822784006;0.2831546726;0.2831546726;0.2867115351;0.2763927555;0.2484128258;0.2081619117;0.2097785182;0.2031241067;0.249137063;0.2157068279;0.2164364496;0.2168522741;AN
0.7035105964;0.6395929051;0.5969921137;0.5694484982;0.5482091742;0.5266073457;0.5212697617;0.5153724293;0.4935852822;0.4746431926;0.433162871;0.405878372;0.3831281781;0.3875165734;0.4061186552;0.4585441605;0.5354863;0.6338730198;0.6162894572;0.5591914782;0.4913402004;0.4286349118;0.438163797;0.5029181235;0.5593077705;0.5882676202;0.5766551981;0.3154452777;0.2102968518;0.1051484259;0.1334914948;0.0971096337;0.0901640314;0.0830292753;0.1051484259;0.4887522605;0.4619355965;0.414519267;0.3445162801;0.3710553894;0.4233678951;0.3238884779;0.3931813466;0.4317341553;0.4461069899;0.3904425302;0.3471490847;0.3136879087;0.2405876434;0.1803280627;0.1803280627;0.1710742213;0.2096774194;0.2641667638;0.2858071798;0.2913289011;0.3001257107;0.3035730681;0.3111900223;0.2913289011;0.2246514238;0.2201184526;0.2110685859;0.2489572426;0.2183384898;0.2280989617;0.235119028;AN
0.7105017207;0.6415726807;0.596828681;0.5712160022;0.5522280102;0.5475562967;0.5505176828;0.5561593435;0.540863956;0.5171989918;0.4618651956;0.4286349118;0.4052369202;0.4033064435;0.4231374072;0.4653023141;0.5503995333;0.6587776812;0.64561476;0.6002514215;0.5361538754;0.4587568598;0.478260484;0.5418250656;0.5961745025;0.6265978534;0.6020365195;0.3390934845;0.2263817556;0.1131908778;0.1370967742;0.1032761974;0.0971096337;0.0940476112;0.1120358386;0.5038870759;0.4795506048;0.4406798739;0.3721055482;0.3892747866;0.4394236363;0.3570313487;0.422522158;0.4633413685;0.471067157;0.414519267;0.3681520068;0.330940073;0.2596974546;0.2022570355;0.2030593276;0.1962181461;0.2276708744;0.2821428336;0.2958699408;0.3081447286;0.3074051379;0.3190329104;0.3211662541;0.3098285921;0.2550223919;0.2431421521;0.2431421521;0.2743121186;0.235119028;0.2431421521;0.2473848653;AN
0.7615311948;0.6982678882;0.6534249;0.6168168766;0.5953557686;0.5680190856;0.5532281576;0.5391175779;0.5201456612;0.497260968;0.4553417488;0.4357824544;0.4205937036;0.422522158;0.437346673;0.4956890116;0.5775004448;0.6687716075;0.6446066164;0.5775004448;0.5086402268;0.4365280194;0.4391275287;0.5075522251;0.5626697917;0.6113094728;0.6045698327;0.3149294224;0.2102968518;0.1051484259;0.1482643251;0.1026445328;0.0890754921;0.0872310792;0.1190711537;0.5212697617;0.4791435735;0.4357824544;0.3534614032;0.3877682348;0.4484335089;0.3294628744;0.400393277;0.4500260138;0.4677419355;0.4112112511;0.3556625334;0.3262891665;0.2452726827;0.1840760034;0.179061317;0.1710742213;0.2092116415;0.2774943635;0.2805246311;0.2913289011;0.3001257107;0.3060268703;0.3154452777;0.2965286502;0.2202661336;0.2201184526;0.2110685859;0.2600728306;0.2270988361;0.2360851801;0.235119028;AN
0.5773953152;0.5212323435;0.4764678673;0.446403324;0.4181369252;0.401341342;0.4000561741;0.4119330482;0.4096918909;0.3903425155;0.3672732942;0.3753009258;0.3872519961;0.4142374282;0.4330960323;0.4782984311;0.5409771568;0.4939002482;0.4705025147;0.4293324259;0.3786539263;0.3288031055;0.3307904211;0.3861624505;0.4225916346;0.4555385504;0.4585091515;0.2408073973;0.1623959984;0.0784115578;0.099935999;0.0751599109;0.0679638272;0.0699997994;0.0805709782;0.3690957913;0.3479868492;0.3162721755;0.2654072295;0.28540871;0.3243111793;0.2544200567;0.3051731907;0.3286606945;0.3447882486;0.2994434253;0.2675155284;0.2331021904;0.1860427464;0.1449287349;0.1414412168;0.1351216382;0.1650646559;0.2138285945;0.2279576063;0.2460638608;0.2480849532;0.2526350627;0.2481478471;0.221781377;0.1701848739;0.1699095679;0.1623959984;0.199871998;0.1902724734;0.1975158607;0.1981469034;AN
0.6911530278;0.6421806146;0.607467406;0.5967741935;0.5838843342;0.5703614423;0.5631896859;0.5672743676;0.5484463915;0.5204581548;0.4833330343;0.4461069899;0.4094678153;0.3990102218;0.4052369202;0.4522604804;0.5146778995;0.6396945811;0.6218050492;0.5662416026;0.5013639046;0.4265054136;0.4361553962;0.4968684452;0.5421850424;0.5727509969;0.5538743495;0.3010992694;0.2030593276;0.0981090731;0.1453851321;0.1096892783;0.1051484259;0.0974439191;0.1146183097;0.4943094491;0.4627795721;0.4172559136;0.3338748636;0.3651364975;0.4228298945;0.3035730681;0.3791180411;0.4205937036;0.4286349118;0.3728040107;0.3250910382;0.33880567;0.2484342226;0.1812274601;0.1856591038;0.1683920405;0.2240716772;0.2953198939;0.3219752383;0.3354295862;0.3467741935;0.3527246408;0.3505050615;0.3131691587;0.2426065961;0.2419354839;0.238824079;0.2780796718;0.254639571;0.2580645161;0.2581904934;AN
0.5774152795;0.5353164189;0.5055433446;0.4988613674;0.4988613674;0.4939159595;0.4986807514;0.5062556286;0.4901167256;0.4725232594;0.4238827564;0.3826092031;0.3425449706;0.3190567604;0.3313153033;0.3754792142;0.439174447;0.5516843841;0.541091124;0.5025945027;0.450465079;0.3939202843;0.3968821327;0.4528087998;0.4885979791;0.5111257118;0.4873980579;0.2764742272;0.1889950046;0.0949136619;0.1154674532;0.091285037;0.0872483221;0.0840937187;0.091285037;0.4228720537;0.4034109779;0.3679052369;0.3035011827;0.3227064505;0.3731929872;0.2784223961;0.3440538421;0.3787637868;0.3773340348;0.331587096;0.291154523;0.2886686331;0.2177849764;0.1634334988;0.1677852349;0.1530436812;0.1950931792;0.2532612384;0.2844244309;0.2990156968;0.3020134228;0.3067488559;0.3040942486;0.2682045799;0.2213747987;0.2147651007;0.2119148108;0.2371892221;0.2251075145;0.2281879195;0.2344194523;AN
